Frequency (Hz),Power (dB)
126.558309,-60.468596
126.658276,-65.864928
126.758243,-70.384561
126.858210,-70.820985
126.958177,-60.385271
127.058144,-78.234181
127.158111,-60.193314
127.258079,-60.832428
127.358046,-72.663598
127.458013,-65.972458
127.557980,-64.814390
127.657947,-72.018183
127.757914,-61.490866
127.857881,-65.543681
127.957848,-62.372479
128.057815,-64.536423
128.157782,-67.773152
128.257749,-61.319011
128.357716,-67.237980
128.457683,-71.251194
128.557650,-62.088644
128.657617,-74.511298
128.757585,-67.624229
128.857552,-63.064733
128.957519,-62.214678
129.057486,-58.393800
129.157453,-71.256255
129.257420,-70.674598
129.357387,-66.687033
129.457354,-64.395952
129.557321,-61.731964
129.657288,-69.214627
129.757255,-60.029964
129.857222,-63.688586
129.957189,-67.801028
130.057156,-72.641884
130.157124,-57.100080
130.257091,-62.865689
130.357058,-66.768649
130.457025,-67.127682
130.556992,-66.471241
130.656959,-63.343455
130.756926,-64.364618
130.856893,-69.260306
130.956860,-62.635209
131.056827,-69.375314
131.156794,-55.730822
131.256761,-67.961130
131.356728,-62.135687
131.456695,-60.122566
131.556662,-61.236923
131.656630,-60.179350
131.756597,-59.874418
131.856564,-66.634220
131.956531,-76.845903
132.056498,-57.088028
132.156465,-58.243299
132.256432,-66.131097
132.356399,-60.878631
132.456366,-68.816532
132.556333,-63.056862
132.656300,-59.218980
132.756267,-64.568817
132.856234,-64.717559
132.956201,-60.888575
133.056169,-72.899445
133.156136,-62.087943
133.256103,-64.367089
133.356070,-68.866688
133.456037,-62.327082
133.556004,-61.189488
133.655971,-60.796984
133.755938,-60.825871
133.855905,-66.861288
133.955872,-63.833346
134.055839,-63.071363
134.155806,-60.613143
134.255773,-57.500534
134.355740,-62.957516
134.455707,-60.225271
134.555675,-63.620616
134.655642,-69.379902
134.755609,-58.079020
134.855576,-64.944389
134.955543,-66.770729
135.055510,-73.065901
135.155477,-67.322803
135.255444,-63.783415
135.355411,-61.442968
135.455378,-76.420629
135.555345,-61.884894
135.655312,-62.728603
135.755279,-60.989659
135.855246,-60.319066
135.955214,-64.080192
136.055181,-58.180504
136.155148,-67.576470
136.255115,-69.125715
136.355082,-70.333302
136.455049,-65.013339
136.555016,-69.389067
136.654983,-75.167879
136.754950,-64.408682
136.854917,-66.738872
136.954884,-63.263947
137.054851,-64.555317
137.154818,-57.036280
137.254785,-60.799468
137.354752,-80.947592
137.454720,-67.376493
137.554687,-68.927660
137.654654,-60.540240
137.754621,-66.646646
137.854588,-69.277107
137.954555,-59.268135
138.054522,-59.625824
138.154489,-66.414171
138.254456,-58.038267
138.354423,-63.604096
138.454390,-74.478528
138.554357,-64.808556
138.654324,-60.242636
138.754291,-65.483752
138.854259,-74.569093
138.954226,-59.030065
139.054193,-71.814293
139.154160,-59.189096
139.254127,-61.482187
139.354094,-78.252740
139.454061,-57.626775
139.554028,-62.380955
139.653995,-61.042860
139.753962,-62.545985
139.853929,-63.133024
139.953896,-77.631921
140.053863,-67.268949
140.153830,-62.184380
140.253797,-64.520699
140.353765,-62.355344
140.453732,-62.474092
140.553699,-62.267220
140.653666,-62.644319
140.753633,-61.994936
140.853600,-61.049324
140.953567,-59.669311
141.053534,-75.045183
141.153501,-58.042235
141.253468,-61.181948
141.353435,-63.888634
141.453402,-62.695879
141.553369,-64.428656
141.653336,-65.054592
141.753304,-73.134156
141.853271,-64.994263
141.953238,-64.781316
142.053205,-71.198307
142.153172,-62.235752
142.253139,-75.824626
142.353106,-67.879037
142.453073,-65.950624
142.553040,-57.320594
142.653007,-77.993237
142.752974,-60.286575
142.852941,-66.506137
142.952908,-77.279944
143.052875,-71.688849
143.152842,-64.489902
143.252810,-60.117189
143.352777,-64.960889
143.452744,-74.351043
143.552711,-75.690350
143.652678,-63.348416
143.752645,-56.694257
143.852612,-66.287691
143.952579,-71.832292
144.052546,-62.133966
144.152513,-67.237372
144.252480,-77.192413
144.352447,-65.975199
144.452414,-62.596030
144.552381,-89.426451
144.652348,-68.403028
144.752316,-64.708207
144.852283,-70.033930
144.952250,-66.368389
145.052217,-64.846533
145.152184,-66.401422
145.252151,-65.218770
145.352118,-60.875349
145.452085,-57.668573
145.552052,-61.884057
145.652019,-63.884432
145.751986,-56.334707
145.851953,-62.134376
145.951920,-71.421342
146.051887,-75.665645
146.151855,-63.704919
146.251822,-61.008974
146.351789,-64.312548
146.451756,-60.893033
146.551723,-65.626258
146.651690,-68.244318
146.751657,-74.519862
146.851624,-61.463875
146.951591,-61.042987
147.051558,-63.083171
147.151525,-63.267367
147.251492,-60.659084
147.351459,-65.040492
147.451426,-65.998574
147.551393,-68.289641
147.651361,-65.904512
147.751328,-64.017434
147.851295,-65.676024
147.951262,-60.255050
148.051229,-65.950577
148.151196,-77.087872
148.251163,-59.131866
148.351130,-72.088673
148.451097,-65.120339
148.551064,-57.407058
148.651031,-67.954980
148.750998,-74.039499
148.850965,-66.387678
148.950932,-63.859709
149.050900,-68.253136
149.150867,-67.925563
149.250834,-71.082743
149.350801,-61.670354
149.450768,-60.631624
149.550735,-76.671261
149.650702,-64.134371
149.750669,-63.782351
149.850636,-64.913385
149.950603,-61.235010
150.050570,-72.724014
150.150537,-73.039268
150.250504,-64.806436
150.350471,-60.484219
150.450438,-64.074541
150.550406,-64.032857
150.650373,-82.531419
150.750340,-68.768868
150.850307,-81.113724
150.950274,-74.342236
151.050241,-66.131252
151.150208,-71.777450
151.250175,-77.809330
151.350142,-69.923385
151.450109,-60.961013
151.550076,-60.348679
151.650043,-63.132768
151.750010,-68.208691
151.849977,-64.990634
151.949945,-59.366986
152.049912,-68.969148
152.149879,-63.227318
152.249846,-67.427095
152.349813,-61.810932
152.449780,-67.284328
152.549747,-73.122093
152.649714,-73.896105
152.749681,-62.835605
152.849648,-61.476041
152.949615,-61.259941
153.049582,-60.629053
153.149549,-58.742167
153.249516,-65.649984
153.349483,-65.675354
153.449451,-66.264272
153.549418,-68.152640
153.649385,-60.363313
153.749352,-65.271510
153.849319,-57.051280
153.949286,-61.416330
154.049253,-61.697605
154.149220,-58.323301
154.249187,-72.625826
154.349154,-62.300551
154.449121,-74.074194
154.549088,-63.484670
154.649055,-64.138988
154.749022,-61.495244
154.848990,-63.873838
154.948957,-70.319206
155.048924,-75.079255
155.148891,-64.518260
155.248858,-62.486539
155.348825,-63.574219
155.448792,-64.622496
155.548759,-74.107405
155.648726,-65.680618
155.748693,-61.975029
155.848660,-76.792898
155.948627,-60.581973
156.048594,-64.990544
156.148561,-65.667835
156.248528,-59.584751
156.348496,-82.569504
156.448463,-63.277700
156.548430,-63.853420
156.648397,-65.352271
156.748364,-73.893206
156.848331,-62.274712
156.948298,-69.673183
157.048265,-72.146951
157.148232,-68.863369
157.248199,-63.729706
157.348166,-62.988228
157.448133,-73.643971
157.548100,-68.043977
157.648067,-74.755261
157.748035,-69.739997
157.848002,-66.410414
157.947969,-58.793623
158.047936,-62.190798
158.147903,-66.097937
158.247870,-67.281425
158.347837,-66.500970
158.447804,-58.007304
158.547771,-58.698029
158.647738,-63.732891
158.747705,-59.321366
158.847672,-65.268592
158.947639,-63.209873
159.047606,-62.816926
159.147573,-64.702174
159.247541,-70.958871
159.347508,-62.743106
159.447475,-72.455272
159.547442,-78.208329
159.647409,-69.937477
159.747376,-63.893680
159.847343,-63.877717
159.947310,-66.010850
160.047277,-65.205351
160.147244,-66.229817
160.247211,-75.705683
160.347178,-61.463166
160.447145,-65.941562
160.547112,-63.583044
160.647079,-63.401525
160.747047,-63.064584
160.847014,-59.356621
160.946981,-64.618558
161.046948,-70.222564
161.146915,-62.372713
161.246882,-58.921053
161.346849,-62.822752
161.446816,-61.088135
161.546783,-60.773104
161.646750,-66.207603
161.746717,-73.453166
161.846684,-75.957092
161.946651,-64.599919
162.046618,-68.712111
162.146586,-72.026888
162.246553,-58.551402
162.346520,-67.726211
162.446487,-72.499040
162.546454,-70.228988
162.646421,-78.373188
162.746388,-73.187245
162.846355,-63.255657
162.946322,-59.373703
163.046289,-64.888915
163.146256,-69.412118
163.246223,-63.106316
163.346190,-62.187018
163.446157,-65.566975
163.546124,-63.907929
163.646092,-62.989409
163.746059,-71.681310
163.846026,-66.050120
163.945993,-65.670506
164.045960,-66.646282
164.145927,-67.039067
164.245894,-64.561066
164.345861,-69.133436
164.445828,-68.033052
164.545795,-60.136099
164.645762,-69.730673
164.745729,-62.730848
164.845696,-63.345036
164.945663,-73.103885
165.045631,-78.129160
165.145598,-61.115850
165.245565,-70.492679
165.345532,-77.597815
165.445499,-67.248860
165.545466,-63.961739
165.645433,-72.628385
165.745400,-74.949710
165.845367,-70.019598
165.945334,-60.674056
166.045301,-68.022779
166.145268,-58.211863
166.245235,-93.103260
166.345202,-65.421900
166.445169,-62.023205
166.545137,-64.721097
166.645104,-64.568696
166.745071,-60.429168
166.845038,-66.495141
166.945005,-59.518886
167.044972,-58.804545
167.144939,-60.407570
167.244906,-58.292705
167.344873,-76.081632
167.444840,-68.708826
167.544807,-61.619300
167.644774,-68.617163
167.744741,-66.646842
167.844708,-62.761956
167.944676,-72.034745
168.044643,-84.977560
168.144610,-64.637397
168.244577,-62.788085
168.344544,-63.711800
168.444511,-75.086215
168.544478,-66.237750
168.644445,-63.945427
168.744412,-63.343178
168.844379,-63.998649
168.944346,-72.968919
169.044313,-62.036258
169.144280,-59.818178
169.244247,-77.927905
169.344214,-58.757483
169.444182,-61.149745
169.544149,-68.133135
169.644116,-68.017361
169.744083,-79.313782
169.844050,-62.614188
169.944017,-64.470608
170.043984,-82.236217
170.143951,-63.372642
170.243918,-71.405593
170.343885,-60.685238
170.443852,-68.839823
170.543819,-62.512643
170.643786,-64.680096
170.743753,-60.996025
170.843721,-66.086858
170.943688,-60.962731
171.043655,-62.613153
171.143622,-61.194517
171.243589,-62.701704
171.343556,-74.853354
171.443523,-65.579485
171.543490,-68.197778
171.643457,-65.783218
171.743424,-64.903036
171.843391,-68.437635
171.943358,-61.457946
172.043325,-67.015865
172.143292,-75.952073
172.243259,-64.184167
172.343227,-59.953462
172.443194,-61.090737
172.543161,-64.666623
172.643128,-63.942995
172.743095,-71.591439
172.843062,-66.957743
172.943029,-78.812737
173.042996,-63.615494
173.142963,-65.975859
173.242930,-54.760535
173.342897,-68.491060
173.442864,-66.625220
173.542831,-62.047276
173.642798,-68.582622
173.742766,-71.177457
173.842733,-68.440072
173.942700,-85.137010
174.042667,-70.165737
174.142634,-63.998306
174.242601,-64.135989
174.342568,-63.681243
174.442535,-64.003940
174.542502,-67.742979
174.642469,-85.023065
174.742436,-64.490986
174.842403,-68.799855
174.942370,-58.794598
175.042337,-75.424250
175.142304,-65.217617
175.242272,-56.936438
175.342239,-79.945424
175.442206,-68.961672
175.542173,-63.807414
175.642140,-60.405511
175.742107,-61.954321
175.842074,-61.437820
175.942041,-70.723795
176.042008,-70.713673
176.141975,-58.819658
176.241942,-60.465960
176.341909,-59.951771
176.441876,-68.206956
176.541843,-60.653787
176.641810,-62.592207
176.741778,-66.977875
176.841745,-68.689291
176.941712,-60.056768
177.041679,-65.935356
177.141646,-67.330698
177.241613,-60.578041
177.341580,-58.105094
177.441547,-73.963797
177.541514,-69.127572
177.641481,-68.501614
177.741448,-71.749276
177.841415,-65.060120
177.941382,-65.122652
178.041349,-59.450169
178.141317,-73.524553
178.241284,-62.435451
178.341251,-75.295382
178.441218,-60.829367
178.541185,-70.997459
178.641152,-62.709712
178.741119,-63.501136
178.841086,-61.426434
178.941053,-62.885612
179.041020,-66.937427
179.140987,-74.799932
179.240954,-65.333561
179.340921,-75.946813
179.440888,-55.812116
179.540855,-64.074224
179.640823,-77.073660
179.740790,-57.448150
179.840757,-62.500719
179.940724,-61.669827
180.040691,-56.974091
180.140658,-62.217372
180.240625,-63.107162
180.340592,-62.407509
180.440559,-65.662084
180.540526,-66.411658
180.640493,-70.181360
180.740460,-76.883110
180.840427,-57.641321
180.940394,-56.508490
181.040362,-71.180937
181.140329,-64.088360
181.240296,-62.468276
181.340263,-61.236617
181.440230,-64.241538
181.540197,-65.438514
181.640164,-61.601282
181.740131,-68.360235
181.840098,-64.202945
181.940065,-61.336865
182.040032,-56.819388
182.139999,-70.037464
182.239966,-65.129931
182.339933,-80.634125
182.439900,-56.897850
182.539868,-68.049564
182.639835,-63.706994
182.739802,-61.625975
182.839769,-61.558574
182.939736,-67.094153
183.039703,-74.693448
183.139670,-72.479166
183.239637,-59.547921
183.339604,-63.191764
183.439571,-72.337119
183.539538,-66.947841
183.639505,-59.518943
183.739472,-60.343701
183.839439,-61.109117
183.939407,-69.819204
184.039374,-64.737973
184.139341,-69.563218
184.239308,-67.159530
184.339275,-69.572014
184.439242,-70.828250
184.539209,-59.789027
184.639176,-59.545480
184.739143,-58.342380
184.839110,-62.384609
184.939077,-76.570355
185.039044,-59.851953
185.139011,-63.079550
185.238978,-61.025474
185.338945,-62.574900
185.438913,-67.006649
185.538880,-67.392619
185.638847,-64.330636
185.738814,-62.193128
185.838781,-66.982840
185.938748,-64.218024
186.038715,-61.886327
186.138682,-67.143533
186.238649,-72.976897
186.338616,-68.659032
186.438583,-60.829697
186.538550,-74.444041
186.638517,-66.345291
186.738484,-58.698907
186.838452,-65.747368
186.938419,-65.290773
187.038386,-69.908781
187.138353,-64.873656
187.238320,-66.835186
187.338287,-64.115160
187.438254,-70.102942
187.538221,-59.816524
187.638188,-71.320287
187.738155,-67.254126
187.838122,-63.541364
187.938089,-60.107859
188.038056,-65.974881
188.138023,-58.331175
188.237990,-61.868247
188.337958,-60.368260
188.437925,-67.843292
188.537892,-66.519076
188.637859,-64.961050
188.737826,-60.678416
188.837793,-61.681360
188.937760,-76.109348
189.037727,-66.356787
189.137694,-63.198502
189.237661,-72.517279
189.337628,-66.846315
189.437595,-61.754482
189.537562,-72.378000
189.637529,-61.993363
189.737497,-70.451711
189.837464,-60.825481
189.937431,-63.575529
190.037398,-68.009791
190.137365,-63.904378
190.237332,-63.178016
190.337299,-63.071059
190.437266,-76.055857
190.537233,-58.345056
190.637200,-62.920204
190.737167,-72.750451
190.837134,-67.053038
190.937101,-69.591615
191.037068,-67.315085
191.137035,-58.789056
191.237003,-70.529647
191.336970,-63.497104
191.436937,-59.071177
191.536904,-67.981067
191.636871,-60.344804
191.736838,-67.374200
191.836805,-64.075972
191.936772,-61.763434
192.036739,-71.861170
192.136706,-67.780581
192.236673,-73.525002
192.336640,-63.457032
192.436607,-67.458034
192.536574,-70.610894
192.636542,-60.993171
192.736509,-60.182590
192.836476,-60.602677
192.936443,-75.249305
193.036410,-66.545321
193.136377,-64.181054
193.236344,-63.459304
193.336311,-66.190939
193.436278,-64.332692
193.536245,-60.449823
193.636212,-73.564201
193.736179,-70.581954
193.836146,-65.124385
193.936113,-61.886104
194.036080,-71.788593
194.136048,-66.631556
194.236015,-66.178833
194.335982,-77.072115
194.435949,-62.787213
194.535916,-67.411639
194.635883,-73.116547
194.735850,-62.788583
194.835817,-66.939731
194.935784,-72.001766
195.035751,-63.134801
195.135718,-64.274306
195.235685,-66.107638
195.335652,-63.288862
195.435619,-69.824288
195.535586,-65.814422
195.635554,-63.243749
195.735521,-65.250648
195.835488,-69.649843
195.935455,-65.083187
196.035422,-56.997859
196.135389,-63.335080
196.235356,-63.075399
196.335323,-62.791476
196.435290,-67.521143
196.535257,-56.907306
196.635224,-65.226315
196.735191,-56.985739
196.835158,-64.426607
196.935125,-63.417994
197.035093,-65.156806
197.135060,-66.953876
197.235027,-74.074000
197.334994,-80.331231
197.434961,-69.360646
197.534928,-69.877628
197.634895,-63.392345
197.734862,-68.036806
197.834829,-59.275002
197.934796,-64.166488
198.034763,-63.792947
198.134730,-59.502206
198.234697,-63.011073
198.334664,-71.449674
198.434631,-66.852145
198.534599,-65.395051
198.634566,-67.868794
198.734533,-68.457925
198.834500,-65.404313
198.934467,-72.890212
199.034434,-63.495431
199.134401,-65.016673
199.234368,-61.221456
199.334335,-77.251896
199.434302,-72.043403
199.534269,-67.536859
199.634236,-74.154708
199.734203,-62.522467
199.834170,-66.581227
199.934138,-64.124858
200.034105,-67.060468
200.134072,-72.314041
200.234039,-66.197389
200.334006,-62.008328
200.433973,-66.862240
200.533940,-60.892157
200.633907,-63.410497
200.733874,-69.695400
200.833841,-63.305789
200.933808,-67.585775
201.033775,-61.124549
201.133742,-68.694567
201.233709,-67.767740
201.333676,-62.621490
201.433644,-65.890437
201.533611,-65.534590
201.633578,-68.293298
201.733545,-60.350747
201.833512,-73.356158
201.933479,-68.093672
202.033446,-64.980337
202.133413,-71.282462
202.233380,-60.924448
202.333347,-65.787908
202.433314,-66.679781
202.533281,-75.203259
202.633248,-60.644768
202.733215,-81.990949
202.833183,-60.049440
202.933150,-69.608656
203.033117,-76.892676
203.133084,-66.485213
203.233051,-63.345204
203.333018,-85.815794
