Frequency (Hz),Power (dB)
28.990450,-64.126063
29.090417,-54.435175
29.190384,-52.665824
29.290351,-56.412798
29.390318,-56.669502
29.490285,-51.218697
29.590252,-49.426421
29.690219,-51.336699
29.790186,-59.418317
29.890154,-53.175877
29.990121,-61.584610
30.090088,-50.288403
30.190055,-53.502050
30.290022,-58.591345
30.389989,-59.864974
30.489956,-57.358428
30.589923,-53.580879
30.689890,-53.013721
30.789857,-71.830923
30.889824,-51.425611
30.989791,-57.255295
31.089758,-49.042750
31.189725,-60.298150
31.289693,-56.046279
31.389660,-65.590833
31.489627,-63.976198
31.589594,-67.000045
31.689561,-64.107429
31.789528,-55.302316
31.889495,-55.179228
31.989462,-62.232066
32.089429,-54.505838
32.189396,-58.762193
32.289363,-58.776456
32.389330,-64.477191
32.489297,-57.889088
32.589264,-60.497497
32.689231,-56.066894
32.789199,-59.808016
32.889166,-68.349831
32.989133,-59.717620
33.089100,-74.916543
33.189067,-56.277866
33.289034,-62.449466
33.389001,-63.664235
33.488968,-59.713382
33.588935,-66.965016
33.688902,-61.128691
33.788869,-64.788537
33.888836,-55.693275
33.988803,-55.392653
34.088770,-56.589828
34.188738,-45.929670
34.288705,-50.255783
34.388672,-55.840300
34.488639,-49.764281
34.588606,-43.639642
34.688573,-48.929157
34.788540,-49.565184
34.888507,-53.802490
34.988474,-51.360208
35.088441,-52.160316
35.188408,-54.149955
35.288375,-61.853135
35.388342,-59.636874
35.488309,-61.512303
35.588276,-53.295181
35.688244,-51.582335
35.788211,-52.201570
35.888178,-54.344238
35.988145,-65.422906
36.088112,-55.269829
36.188079,-63.334218
36.288046,-52.488487
36.388013,-59.275236
36.487980,-58.323742
36.587947,-58.948651
36.687914,-59.150817
36.787881,-60.957773
36.887848,-56.584047
36.987815,-59.385714
37.087783,-73.085638
37.187750,-60.351080
37.287717,-55.215582
37.387684,-58.931539
37.487651,-61.499043
37.587618,-58.703378
37.687585,-62.211474
37.787552,-56.382546
37.887519,-59.334539
37.987486,-60.814231
38.087453,-60.180406
38.187420,-61.845944
38.287387,-56.215711
38.387354,-66.171578
38.487321,-55.899484
38.587289,-61.675451
38.687256,-59.396270
38.787223,-51.959179
38.887190,-59.120539
38.987157,-75.000728
39.087124,-55.912988
39.187091,-58.292703
39.287058,-65.474098
39.387025,-55.323123
39.486992,-57.611400
39.586959,-58.796341
39.686926,-61.782826
39.786893,-57.959180
39.886860,-55.025541
39.986828,-63.533531
40.086795,-58.883124
40.186762,-74.692421
40.286729,-65.878168
40.386696,-55.963476
40.486663,-60.668063
40.586630,-65.776343
40.686597,-80.874941
40.786564,-58.270052
40.886531,-73.790708
40.986498,-59.255039
41.086465,-69.547305
41.186432,-58.334696
41.286399,-56.654078
41.386366,-67.086911
41.486334,-69.591678
41.586301,-56.383677
41.686268,-54.898659
41.786235,-72.031585
41.886202,-71.249216
41.986169,-58.907535
42.086136,-57.484406
42.186103,-64.523426
42.286070,-60.125050
42.386037,-64.342555
42.486004,-58.009365
42.585971,-69.894483
42.685938,-74.680628
42.785905,-67.960086
42.885872,-61.641694
42.985840,-57.250706
43.085807,-63.403064
43.185774,-58.870341
43.285741,-59.715610
43.385708,-60.628985
43.485675,-59.985575
43.585642,-62.818017
43.685609,-55.505120
43.785576,-62.529754
43.885543,-70.950949
43.985510,-62.967950
44.085477,-60.290561
44.185444,-64.049352
44.285411,-66.333765
44.385379,-60.622100
44.485346,-61.034665
44.585313,-68.097123
44.685280,-56.884854
44.785247,-67.362603
44.885214,-66.848647
44.985181,-60.511459
45.085148,-63.539501
45.185115,-66.419784
45.285082,-63.923446
45.385049,-59.057724
45.485016,-56.713817
45.584983,-58.119007
45.684950,-67.506354
45.784917,-61.385145
45.884885,-68.491197
45.984852,-60.871382
46.084819,-57.662822
46.184786,-65.927295
46.284753,-60.998596
46.384720,-75.736725
46.484687,-67.777305
46.584654,-58.855572
46.684621,-64.990809
46.784588,-55.690028
46.884555,-61.304811
46.984522,-59.553943
47.084489,-61.871376
47.184456,-57.987805
47.284424,-58.282234
47.384391,-58.302277
47.484358,-67.637179
47.584325,-63.430095
47.684292,-61.162679
47.784259,-64.489674
47.884226,-67.844140
