Timestamp (ns),X (rad/s),Y (rad/s),Z (rad/s)
45722889543895,0.005116,-0.007009,0.006055
45722892023687,0.003894,-0.004566,0.007277
45722894504052,0.002672,-0.002122,0.006055
45722896981031,0.000229,-0.000901,0.007277
45722899457385,-0.002215,0.000321,0.007277
45722901936343,-0.003436,0.000321,0.006055
45722904415145,-0.002215,0.001543,0.004833
45722906895302,-0.002215,0.001543,0.006055
45722909374156,-0.000993,0.001543,0.006055
45722911835927,0.000229,0.000321,0.006055
45722914289520,0.003894,-0.000901,0.004833
45722916697906,0.003894,-0.002122,0.003612
45722919152125,0.006337,-0.005788,0.003612
45722921558322,0.010003,-0.007009,0.004833
45722924010458,0.010003,-0.009453,0.003612
45722926418947,0.010003,-0.010674,0.003612
45722928851239,0.010003,-0.013118,0.003612
45722931278062,0.011224,-0.016783,0.003612
45722933710927,0.012446,-0.019227,0.004833
45722936142906,0.011224,-0.022892,0.004833
45722938572072,0.007559,-0.024113,0.003612
45722941025354,0.005116,-0.025335,0.006055
45722943456083,0.002672,-0.025335,0.007277
45722945900302,0.000229,-0.025335,0.007277
45722948294520,-0.002215,-0.021670,0.008498
45722950749364,-0.004658,-0.020448,0.007277
45722953156604,-0.008323,-0.018005,0.007277
45722955612177,-0.009545,-0.015561,0.009720
45722958019364,-0.010767,-0.013118,0.010942
45722960448583,-0.011989,-0.013118,0.010942
45722962902333,-0.011989,-0.013118,0.010942
45722965310406,-0.011989,-0.011896,0.012164
45722967765197,-0.011989,-0.013118,0.012164
45722970170875,-0.009545,-0.013118,0.010942
45722972625302,-0.009545,-0.015561,0.009720
45722975033166,-0.008323,-0.015561,0.006055
45722977463843,-0.005880,-0.015561,0.006055
45722979916187,-0.005880,-0.015561,0.004833
45722982322489,-0.003436,-0.016783,0.002390
45722984777541,-0.003436,-0.016783,0.002390
45722987186083,-0.002215,-0.016783,0.001168
45722989637958,-0.003436,-0.015561,0.002390
45722992045406,-0.005880,-0.018005,0.002390
45722994476968,-0.005880,-0.016783,-0.000054
45722996930614,-0.007102,-0.014340,-0.000054
45722999410562,-0.009545,-0.013118,-0.000054
45723001889364,-0.010767,-0.009453,-0.000054
45723004369364,-0.011989,-0.007009,-0.000054
45723006848166,-0.014432,-0.004566,0.001168
45723009326968,-0.015654,-0.002122,0.002390
45723011805822,-0.019319,-0.000901,0.001168
45723014284677,-0.018097,0.002765,0.001168
45723016764468,-0.016875,0.003986,0.002390
45723019243270,-0.016875,0.007651,0.002390
45723021723375,-0.015654,0.007651,0.001168
45723024202072,-0.011989,0.007651,0.002390
45723026680770,-0.009545,0.005208,-0.000054
45723029159520,-0.007102,0.005208,-0.001275
45723031638322,-0.004658,0.003986,-0.001275
45723034117125,-0.002215,0.001543,-0.002497
45723036595927,-0.000993,-0.000901,-0.002497
45723039075875,0.001450,-0.002122,-0.001275
45723041554677,0.000229,-0.004566,-0.003719
45723044034625,0.001450,-0.005788,-0.002497
45723046514520,0.002672,-0.005788,-0.002497
45723048993375,0.000229,-0.005788,-0.003719
45723051473427,-0.000993,-0.007009,-0.003719
45723053952229,-0.000993,-0.005788,-0.003719
45723056432854,-0.002215,-0.005788,-0.003719
45723058911552,-0.003436,-0.004566,-0.001275
45723061391447,-0.003436,-0.004566,-0.000054
45723063871343,-0.005880,-0.005788,-0.000054
45723066349989,-0.005880,-0.003344,0.002390
45723068829312,-0.008323,-0.003344,0.003612
45723071308010,-0.009545,-0.003344,0.004833
45723073787906,-0.010767,-0.004566,0.004833
45723076266552,-0.009545,-0.004566,0.003612
45723078746395,-0.008323,-0.007009,0.003612
45723081225093,-0.005880,-0.008231,0.002390
45723083703791,-0.005880,-0.009453,0.002390
45723086183635,-0.002215,-0.010674,0.003612
45723088662333,-0.002215,-0.013118,0.001168
45723091142385,0.000229,-0.015561,0.001168
45723093621083,0.003894,-0.018005,0.001168
45723096101031,0.005116,-0.019227,-0.000054
45723098580822,0.006337,-0.020448,-0.000054
45723101057229,0.007559,-0.020448,-0.000054
45723103537333,0.007559,-0.021670,-0.001275
45723106016031,0.006337,-0.022892,-0.001275
45723108495927,0.007559,-0.022892,-0.002497
45723110974885,0.007559,-0.021670,-0.001275
45723113454781,0.008781,-0.021670,-0.002497
45723115933479,0.005116,-0.021670,-0.002497
45723118412281,0.005116,-0.018005,-0.002497
45723120869104,0.003894,-0.016783,-0.001275
45723123299572,0.002672,-0.014340,-0.001275
45723125730093,-0.002215,-0.011896,-0.001275
45723128160562,-0.003436,-0.009453,-0.002497
45723130614885,-0.004658,-0.009453,-0.002497
45723133047854,-0.005880,-0.008231,-0.002497
45723135453375,-0.007102,-0.009453,-0.001275
45723137884260,-0.007102,-0.011896,-0.000054
45723140339052,-0.007102,-0.014340,-0.001275
45723142745822,-0.008323,-0.016783,-0.001275
45723145199833,-0.005880,-0.019227,-0.001275
45723147606291,-0.004658,-0.021670,-0.001275
45723150039416,-0.004658,-0.024113,-0.003719
45723152491395,-0.002215,-0.025335,-0.003719
45723154898010,0.001450,-0.027779,-0.004941
45723157330197,0.002672,-0.029000,-0.004941
45723159760354,0.003894,-0.031444,-0.007384
45723162215510,0.006337,-0.030222,-0.007384
45723164646083,0.007559,-0.030222,-0.007384
45723167075718,0.008781,-0.030222,-0.006162
45723169482854,0.010003,-0.029000,-0.004941
45723171880354,0.008781,-0.027779,-0.003719
45723174343062,0.010003,-0.024113,-0.002497
45723176796968,0.008781,-0.024113,-0.000054
45723179206291,0.006337,-0.021670,-0.000054
45723181639625,0.006337,-0.019227,0.001168
45723184090197,0.005116,-0.016783,0.002390
45723186496447,0.002672,-0.014340,0.002390
45723188951291,0.002672,-0.011896,0.002390
45723191358531,0.001450,-0.009453,0.001168
45723193811916,0.000229,-0.009453,-0.000054
45723196218843,-0.000993,-0.008231,-0.000054
45723198650354,-0.002215,-0.008231,-0.000054
45723201033895,0.000229,-0.008231,-0.000054
45723203512177,0.001450,-0.009453,-0.001275
45723205943114,0.002672,-0.011896,-0.001275
45723208378583,0.003894,-0.014340,-0.000054
45723210829416,0.006337,-0.019227,-0.001275
45723213237333,0.008781,-0.021670,-0.001275
45723215662750,0.010003,-0.024113,-0.001275
45723218094520,0.011224,-0.025335,-0.002497
45723220524989,0.012446,-0.027779,-0.002497
45723222984833,0.012446,-0.029000,-0.003719
45723225388322,0.012446,-0.030222,-0.004941
45723227841500,0.010003,-0.030222,-0.006162
45723230246812,0.011224,-0.029000,-0.002497
45723232677333,0.007559,-0.026557,-0.003719
45723235131656,0.006337,-0.021670,-0.002497
45723237539572,0.003894,-0.018005,0.001168
45723239974520,-0.000993,-0.010674,-0.000054
45723242399364,-0.002215,-0.007009,0.001168
45723244854000,-0.002215,-0.002122,0.002390
45723247262854,-0.005880,0.003986,0.003612
45723249692697,-0.005880,0.011317,0.002390
45723252122645,-0.005880,0.013760,0.001168
45723254507333,-0.004658,0.016204,0.001168
45723256987541,-0.003436,0.017425,0.001168
45723259395822,-0.003436,0.016204,0.001168
45723261869208,-0.002215,0.017425,-0.001275
45723264279833,-0.003436,0.017425,-0.001275
45723266734833,-0.002215,0.014982,-0.003719
45723269161552,-0.002215,0.014982,-0.003719
45723271567645,0.000229,0.013760,-0.003719
45723274026552,-0.003436,0.012538,-0.006162
45723276429781,-0.003436,0.011317,-0.004941
45723278883635,-0.002215,0.008873,-0.004941
45723281290562,-0.003436,0.007651,-0.003719
