Frequency (Hz),Amplitude (|P1(f)|)
31.789528,0.000768
31.889495,0.000779
31.989462,0.000346
32.089429,0.000842
32.189396,0.000516
32.289363,0.000515
32.389330,0.000267
32.489297,0.000570
32.589264,0.000422
32.689231,0.000703
32.789199,0.000457
32.889166,0.000171
32.989133,0.000462
33.089100,0.000080
33.189067,0.000686
33.289034,0.000337
33.389001,0.000293
33.488968,0.000462
33.588935,0.000201
33.688902,0.000393
33.788869,0.000258
33.888836,0.000734
33.988803,0.000760
34.088770,0.000662
34.188738,0.002259
34.288705,0.001373
34.388672,0.000722
34.488639,0.001453
34.588606,0.002941
34.688573,0.001600
34.788540,0.001487
34.888507,0.000913
34.988474,0.001209
35.088441,0.001103
35.188408,0.000877
35.288375,0.000361
35.388342,0.000466
35.488309,0.000376
35.588276,0.000968
35.688244,0.001178
35.788211,0.001097
35.888178,0.000857
35.988145,0.000239
36.088112,0.000771
36.188079,0.000305
36.288046,0.001062
36.388013,0.000486
36.487980,0.000542
36.587947,0.000505
36.687914,0.000493
36.787881,0.000400
36.887848,0.000663
36.987815,0.000480
37.087783,0.000099
37.187750,0.000429
37.287717,0.000776
37.387684,0.000506
37.487651,0.000376
37.587618,0.000519
37.687585,0.000347
37.787552,0.000678
37.887519,0.000483
37.987486,0.000407
38.087453,0.000438
38.187420,0.000362
38.287387,0.000691
38.387354,0.000220
38.487321,0.000717
38.587289,0.000369
38.687256,0.000479
38.787223,0.001128
38.887190,0.000495
38.987157,0.000080
39.087124,0.000716
39.187091,0.000544
39.287058,0.000238
39.387025,0.000766
39.486992,0.000589
39.586959,0.000514
39.686926,0.000364
39.786893,0.000566
39.886860,0.000793
39.986828,0.000298
40.086795,0.000508
40.186762,0.000082
40.286729,0.000227
40.386696,0.000712
40.486663,0.000414
40.586630,0.000230
40.686597,0.000040
40.786564,0.000546
40.886531,0.000091
40.986498,0.000487
41.086465,0.000149
41.186432,0.000542
41.286399,0.000657
41.386366,0.000198
41.486334,0.000148
41.586301,0.000678
41.686268,0.000804
41.786235,0.000112
41.886202,0.000122
41.986169,0.000507
42.086136,0.000597
42.186103,0.000266
42.286070,0.000441
42.386037,0.000271
42.486004,0.000562
42.585971,0.000143
42.685938,0.000082
42.785905,0.000179
42.885872,0.000370
42.985840,0.000614
43.085807,0.000302
43.185774,0.000509
43.285741,0.000462
43.385708,0.000416
43.485675,0.000448
43.585642,0.000323
43.685609,0.000750
43.785576,0.000334
43.885543,0.000127
43.985510,0.000318
44.085477,0.000432
44.185444,0.000281
44.285411,0.000216
44.385379,0.000416
44.485346,0.000397
44.585313,0.000176
44.685280,0.000640
44.785247,0.000192
44.885214,0.000203
44.985181,0.000422
45.085148,0.000297
45.185115,0.000214
45.285082,0.000285
45.385049,0.000498
45.485016,0.000653
45.584983,0.000555
45.684950,0.000188
45.784917,0.000381
45.884885,0.000168
45.984852,0.000404
46.084819,0.000585
46.184786,0.000226
46.284753,0.000399
46.384720,0.000073
46.484687,0.000183
46.584654,0.000510
46.684621,0.000252
46.784588,0.000734
46.884555,0.000385
46.984522,0.000471
47.084489,0.000360
47.184456,0.000564
47.284424,0.000545
47.384391,0.000544
47.484358,0.000186
47.584325,0.000301
47.684292,0.000391
47.784259,0.000267
47.884226,0.000181
47.984193,0.000255
48.084160,0.000302
48.184127,0.000487
48.284094,0.000406
48.384061,0.000483
48.484028,0.000321
48.583995,0.000153
48.683962,0.000781
48.783930,0.000735
48.883897,0.000437
48.983864,0.000415
49.083831,0.000102
49.183798,0.000287
49.283765,0.000144
49.383732,0.000161
49.483699,0.000399
49.583666,0.000890
49.683633,0.000186
49.783600,0.000258
49.883567,0.000373
49.983534,0.000164
50.083501,0.000525
50.183469,0.000334
50.283436,0.000133
50.383403,0.000438
50.483370,0.000521
50.583337,0.000646
50.683304,0.000333
50.783271,0.000789
50.883238,0.000129
50.983205,0.000669
51.083172,0.000394
51.183139,0.000366
51.283106,0.000362
51.383073,0.000555
51.483040,0.000392
51.583007,0.000140
51.682975,0.000128
51.782942,0.000697
51.882909,0.000412
51.982876,0.000389
52.082843,0.000522
52.182810,0.000294
52.282777,0.000658
52.382744,0.000443
52.482711,0.000721
52.582678,0.000124
52.682645,0.000213
52.782612,0.000557
52.882579,0.000515
52.982546,0.000409
53.082514,0.000429
53.182481,0.000465
53.282448,0.000735
53.382415,0.000168
53.482382,0.000495
53.582349,0.000230
53.682316,0.000206
53.782283,0.000418
53.882250,0.000663
53.982217,0.000432
54.082184,0.000422
54.182151,0.000308
54.282118,0.000595
54.382085,0.000182
54.482052,0.000541
54.582020,0.000344
54.681987,0.000615
54.781954,0.000326
54.881921,0.000512
54.981888,0.000450
55.081855,0.000226
55.181822,0.000117
55.281789,0.000334
55.381756,0.000485
55.481723,0.000168
55.581690,0.000610
55.681657,0.000335
55.781624,0.000590
55.881591,0.000433
55.981559,0.000361
56.081526,0.000291
56.181493,0.000265
56.281460,0.000117
56.381427,0.000106
56.481394,0.000247
56.581361,0.000107
56.681328,0.000385
56.781295,0.000241
56.881262,0.000251
56.981229,0.000227
57.081196,0.000572
57.181163,0.000383
57.281130,0.000255
57.381097,0.000611
57.481065,0.000264
57.581032,0.000262
57.680999,0.000372
57.780966,0.000134
57.880933,0.000209
57.980900,0.000341
58.080867,0.000556
58.180834,0.000295
58.280801,0.000241
58.380768,0.000235
58.480735,0.000221
58.580702,0.000456
58.680669,0.000196
58.780636,0.000200
58.880603,0.000763
58.980571,0.000498
59.080538,0.000291
59.180505,0.000441
59.280472,0.000078
59.380439,0.000502
59.480406,0.000074
59.580373,0.000287
59.680340,0.000079
59.780307,0.000211
59.880274,0.000124
59.980241,0.000080
60.080208,0.000120
60.180175,0.000259
60.280142,0.000400
60.380110,0.000471
60.480077,0.000620
60.580044,0.000300
60.680011,0.000157
60.779978,0.000306
60.879945,0.000585
60.979912,0.000383
61.079879,0.000689
61.179846,0.000398
61.279813,0.000216
61.379780,0.000571
61.479747,0.000261
61.579714,0.000782
61.679681,0.000268
61.779648,0.000149
61.879616,0.000195
61.979583,0.000459
62.079550,0.000473
62.179517,0.000331
62.279484,0.000048
62.379451,0.000337
62.479418,0.000361
62.579385,0.000276
62.679352,0.000518
62.779319,0.000490
62.879286,0.000278
62.979253,0.000214
63.079220,0.000326
63.179187,0.000299
63.279155,0.000384
